iter	RMSE
0	351667.8379
1	337257.7606
2	323905.5005
3	311342.8406
4	299581.1904
5	288868.4416
6	278797.9491
7	269882.0003
8	261557.1377
9	253889.9243
10	246879.8777
11	240215.0737
12	233902.702
13	227871.5279
14	222740.4692
15	217612.9132
16	212869.3483
17	208522.6742
18	204817.6629
19	201176.0151
20	197892.4527
21	194924.6919
22	191407.6002
23	188851.1676
24	186432.4479
25	183770.3282
26	181660.2485
27	179554.5427
28	177475.7866
29	175482.0202
30	174065.8704
31	172356.407
32	170696.2574
33	169293.3724
34	168127.0769
35	166973.187
36	165895.2595
37	164722.9006
38	163626.9504
39	162674.9247
40	161940.1371
41	161112.9652
42	160304.6328
43	159663.1506
44	159135.7354
45	158526.8639
46	158018.9359
47	156747.1394
48	156125.3859
49	155270.72
50	154796.7439
51	154370.1062
52	153989.2054
53	153613.4255
54	153123.5534
55	152325.438
56	151971.4351
57	151337.3753
58	151011.3714
59	150736.2801
60	150163.9017
61	149811.024
62	149524.168
63	149158.9357
64	148912.9032
65	148629.9367
66	148318.3745
67	148011.5798
68	147826.2417
69	147462.7458
70	147158.2183
71	146909.3804
72	146653.7472
73	146478.653
74	146296.7366
75	145969.0163
76	145791.5476
77	145595.896
78	145358.6541
79	145198.0275
80	144864.3148
81	144406.9786
82	144270.6022
83	143936.4666
84	143765.0285
85	143626.165
86	143417.5507
87	143278.013
88	143010.4351
89	142433.6458
90	141984.1046
91	141785.6272
92	141316.9726
93	141032.22
94	140855.1316
95	140698.0255
96	140503.1827
97	140357.742
98	140204.7349
99	140044.4852
100	139950.8882
101	139845.5533
102	139692.1949
103	139545.8941
104	139421.7482
105	139264.4373
106	139147.5516
107	139085.2557
108	138923.8959
109	138703.1624
110	138527.7844
111	138401.5585
112	138092.3323
113	137972.2441
114	137864.7074
115	137661.7379
116	137537.8822
117	137238.0133
118	137113.4348
119	137035.9713
120	136875.6553
121	136748.4043
122	136592.0701
123	136470.0491
124	136237.9621
125	136127.7989
126	135967.2066
127	135737.8343
128	135597.7978
129	135439.2219
130	135310.6019
131	135185.7784
132	134904.7682
133	134828.862
134	134624.688
135	134468.2042
136	134207.0527
137	134084.1498
138	133852.7346
139	133752.7578
140	133621.6276
141	133473.0222
142	133407.667
143	133206.4073
144	133084.3765
145	132984.7719
146	132865.2542
147	132761.7286
148	132631.9676
149	132448.8827
150	132358.2921
151	132136.4415
152	131898.5569
153	131786.1564
154	131569.5399
155	131532.4647
156	131430.5911
157	131156.177
158	130979.9763
159	130901.5969
160	130633.9336
161	130337.2334
162	130260.3008
163	130113.4016
164	130009.3109
165	129865.735
166	129731.7824
167	129624.6467
168	129530.9286
169	129293.3381
170	129055.9748
171	128956.5169
172	128739.3395
173	128590.0557
174	128407.0199
175	128199.5403
176	127978.9461
177	127869.449
178	127788.7643
179	127679.2379
180	127585.8087
181	127438.6869
182	127301.0806
183	127147.6135
184	127042.2927
185	126961.7429
186	126826.8259
187	126711.1565
188	126523.2735
189	126441.3954
190	126333.1889
191	126179.818
192	126005.0358
193	125926.8171
194	125811.778
195	125736.7442
196	125638.998
197	125530.784
198	125354.5414
199	125229.3912
200	125163.2564
201	125042.6403
202	124915.9037
203	124783.3422
204	124722.3368
205	124672.9332
206	124506.3287
207	124391.4753
208	124312.5205
209	124198.6952
210	124125.2851
211	124013.4761
212	123880.7275
213	123745.5748
214	123662.478
215	123595.6004
216	123481.752
217	123365.4445
218	123312.4714
219	123216.0027
220	123119.6584
221	123036.0046
222	122955.2026
223	122876.5047
224	122758.5189
225	122657.0639
226	122607.2347
227	122544.8941
228	122457.3378
229	122376.346
230	122237.3298
231	122136.8364
232	122020.9727
233	121975.3975
234	121899.3859
235	121823.3006
236	121732.3649
237	121593.5638
238	121510.3265
239	121438.5538
240	121305.6019
241	121261.5901
242	121189.8616
243	121086.2011
244	121014.4177
245	120952.2459
246	120858.7106
247	120727.2418
248	120654.0467
249	120568.601
250	120467.0955
251	120339.0793
252	120233.2617
253	120134.9509
254	120011.099
255	119898.6075
256	119822.5794
257	119762.1412
258	119699.0094
259	119610.3206
260	119490.2955
261	119319.4119
262	119219.2662
263	119142.7146
264	119082.225
265	118994.6116
266	118888.3846
267	118814.0368
268	118658.3129
269	118594.4185
270	118553.794
271	118482.3055
272	118382.2695
273	118266.6001
274	118201.0839
275	118111.2977
276	118027.9502
277	117921.7983
278	117859.4484
279	117782.872
280	117728.3011
281	117661.0896
282	117610.3792
283	117571.2354
284	117468.859
285	117426.4376
286	117358.2986
287	117303.5943
288	117248.9021
289	117162.5993
290	117099.7897
291	117054.1784
292	116984.4386
293	116927.1346
294	116892.8694
295	116815.0106
296	116758.4066
297	116708.0249
298	116631.2786
299	116576.4128
300	116477.0622
301	116446.1952
302	116353.9367
303	116291.1723
304	116248.0843
305	116183.9941
306	116113.0552
307	116058.4285
308	115959.9593
309	115812.608
310	115721.4087
311	115664.2284
312	115599.3878
313	115504.5636
314	115423.9177
315	115372.76
316	115275.1589
317	115189.2177
318	115128.4796
319	115064.7261
320	115006.0183
321	114919.0801
322	114849.8358
323	114747.8484
324	114664.6094
325	114626.6109
326	114576.1896
327	114521.506
328	114453.1899
329	114377.1473
330	114319.4469
331	114257.801
332	114226.8628
333	114155.877
334	114116.0111
335	114081.971
336	114039.5129
337	113999.7007
338	113961.7615
339	113911.5328
340	113780.9841
341	113748.5264
342	113667.0995
343	113610.96
344	113521.7876
345	113466.2563
346	113397.9074
347	113308.252
348	113239.7587
349	113160.0167
350	113118.8269
351	113042.185
352	112981.2648
353	112941.8694
354	112885.6351
355	112831.3613
356	112769.8242
357	112709.887
358	112633.7364
359	112598.1674
360	112572.9773
361	112526.8575
362	112415.752
363	112346.2023
364	112283.0501
365	112246.5415
366	112204.0135
