iter	RMSE
0	339338.7786
1	320917.4546
2	303030.8823
3	286878.5576
4	272557.6194
5	260502.1633
6	248995.3899
7	238896.5607
8	230172.072
9	221884.3331
10	214653.7185
11	208958.2751
12	203488.7744
13	198532.0937
14	194026.492
15	189378.3426
16	185795.2636
17	181558.7792
18	178696.052
19	176084.2125
20	173749.5975
21	171663.386
22	170019.4717
23	168279.0414
24	166740.2449
25	165520.0315
26	164060.682
27	162709.9301
28	160985.7182
29	159928.5432
30	159693.9001
31	159477.7289
32	158555.4304
33	157451.4942
34	157361.5405
35	157148.2551
36	156322.5874
37	155902.8379
38	155754.7156
39	155375.5902
40	154885.8847
41	154716.0661
42	154022.9116
43	153246.8368
44	153156.2763
45	152739.4663
46	152510.0092
47	152432.6758
48	151483.4422
49	151027.7223
50	150025.8304
51	149959.4385
52	149587.842
53	149298.4415
54	148805.6633
55	148683.6679
56	148653.1394
57	147988.0409
58	147958.3333
59	147127.8864
60	146864.6274
61	146310.9244
62	146201.0237
63	146155.7675
64	145907.0002
65	145628.1069
66	145331.9725
67	145121.2267
68	144427.0343
69	143837.0868
70	143513.6214
71	143064.6162
72	142966.3787
73	142268.8061
74	141836.5583
75	141604.7911
76	141276.614
77	141016.7567
78	140823.3546
79	140613.5069
80	140209.5599
81	139746.3141
82	139404.8047
83	139200.8864
84	138771.0404
85	138525.4743
86	138273.4285
87	137924.4485
88	137872.1303
89	137702.869
90	137520.3921
91	137359.4279
92	137115.4085
93	136891.9089
94	136621.9386
95	136411.1193
96	136133.9697
97	135899.415
98	135734.2408
99	135436.3261
100	135016.3908
101	134913.3303
102	134692.0966
103	134527.0863
104	134395.7508
105	134247.3709
106	134159.4594
107	134153.4384
108	133826.2149
109	133667.1733
110	133567.1026
111	133371.7981
112	133103.9842
113	132796.9732
114	132629.7424
115	132466.8032
116	132199.8536
117	131958.8425
118	131756.4039
119	131595.4625
120	131390.2893
121	131162.6608
122	130933.1289
123	130594.1457
124	130529.7948
125	130230.353
126	130040.3341
127	129877.2698
128	129699.5414
129	129459.439
130	129224.0841
131	129099.9333
132	128886.4567
133	128755.1541
134	128545.1793
135	128288.8485
136	128078.8342
137	127944.3158
138	127819.4585
139	127729.5744
140	127608.1718
141	127316.9906
142	127141.7299
143	126824.7344
144	126607.7199
145	126384.683
146	126166.2663
147	125835.3436
148	125695.2936
149	125556.0235
150	125344.8346
151	125196.6755
152	124898.8131
153	124621.9251
154	124422.4671
155	124214.5887
156	124024.5169
157	123838.0678
158	123716.5137
159	123558.5412
160	123338.9971
161	123062.6027
162	122907.2965
163	122805.8199
164	122608.4003
165	122404.5862
166	122284.3544
167	122188.3518
168	122000.1562
169	121846.0982
170	121713.454
171	121611.632
172	121465.1695
173	121335.9712
174	121222.9844
175	121030.9459
176	120855.0475
177	120690.3177
178	120553.6083
179	120459.6771
180	120358.9418
181	120230.5413
182	120059.1814
183	119905.8991
184	119729.3874
185	119575.7296
186	119431.5416
187	119337.8084
188	119207.76
189	119058.7787
190	118983.1155
191	118871.9271
192	118661.4299
193	118527.5683
194	118342.2827
195	118261.0258
196	118058.618
197	117966.2206
198	117756.111
199	117645.5679
