iter	Passed	Remaining
0	8	1724
1	17	1755
2	26	1740
3	33	1625
4	40	1589
5	46	1517
6	52	1452
7	59	1424
8	65	1385
9	71	1363
10	77	1331
11	82	1287
12	88	1276
13	94	1258
14	100	1239
15	106	1224
16	111	1204
17	117	1190
18	123	1175
19	128	1160
20	135	1155
21	140	1139
22	145	1121
23	151	1112
24	156	1098
25	162	1085
26	167	1075
27	173	1066
28	179	1056
29	185	1048
30	190	1040
31	194	1019
32	200	1013
33	206	1006
34	210	991
35	216	988
36	222	980
37	227	970
38	232	960
39	238	954
40	244	949
41	249	939
42	256	935
43	262	930
44	267	921
45	274	920
46	282	920
47	286	906
48	292	902
49	299	899
50	305	892
51	321	915
52	329	913
53	336	908
54	343	905
55	349	899
56	353	885
57	360	882
58	366	874
59	373	870
60	380	866
61	386	861
62	393	856
63	400	851
64	408	847
65	413	839
66	418	831
67	425	825
68	431	818
69	437	811
70	442	804
71	448	796
72	454	790
73	460	784
74	466	777
75	473	772
76	479	765
77	485	759
78	491	753
79	496	745
80	503	739
81	509	733
82	514	725
83	520	719
84	525	711
85	531	704
86	538	699
87	543	692
88	547	682
89	553	677
90	559	669
91	564	663
92	571	657
93	576	650
94	582	643
95	588	637
96	593	630
97	600	624
98	606	618
99	611	611
100	617	605
101	622	598
102	628	591
103	635	586
104	641	580
105	647	574
106	653	568
107	659	561
108	665	555
109	672	550
110	677	543
111	684	537
112	690	531
113	697	526
114	704	520
115	710	514
116	717	508
117	723	502
118	729	496
119	735	490
120	741	483
121	746	477
122	752	471
123	758	465
124	764	458
125	770	452
126	776	446
127	782	440
128	787	433
129	793	427
130	800	421
131	805	414
132	810	408
133	815	401
134	820	395
135	826	389
136	831	382
137	836	376
138	842	369
139	847	363
140	852	356
141	858	350
142	864	344
143	869	337
144	875	332
145	880	325
146	886	319
147	892	313
148	898	307
149	905	301
150	911	295
151	916	289
152	922	283
153	928	277
154	933	270
155	940	265
156	946	259
157	951	252
158	957	246
159	962	240
160	969	234
161	975	228
162	981	222
163	988	217
164	994	210
165	1000	204
166	1006	198
167	1012	192
168	1019	186
169	1024	180
170	1030	174
171	1036	168
172	1041	162
173	1047	156
174	1054	150
175	1060	144
176	1067	138
177	1072	132
178	1079	126
179	1086	120
180	1093	114
181	1100	108
182	1107	102
183	1113	96
184	1121	90
185	1130	85
186	1135	78
187	1140	72
188	1147	66
189	1152	60
190	1158	54
191	1164	48
192	1169	42
193	1174	36
194	1180	30
195	1186	24
196	1190	18
197	1197	12
198	1202	6
199	1209	0
